Symbol	GSM364903	GSM364904	GSM364905	GSM364906
1700041B01Rik	0.23213908	-1.16137	0.51806456	0
1700041C23Rik	0	0	0	0
1700041M19Rik	0	0	0	0
1700042B14Rik	0.5722527	-0.354066	-0.58491844	0.774467
1700042D02Rik	0	0	0	0
1700042D18Rik	0	0	0	0
1700042G07Rik	-0.39037555	-0.0830183	0.23174897	-0.0566224
1700043A12Rik	0	0	0	0
1700045I11Rik	0.045485724	-0.158834	0.34692594	-0.223601
1700045I19Rik	-0.22960378	-0.478313	-0.13657434	-0.312543
1700047A11Rik	0	0	0	0
1700047E10Rik	0	0.14538	-0.49803406	0.265347
1700047K16Rik	0.4066426	0.0786626	-0.13578391	0.540564
1700048B10Rik	0	0.306156	0	0.447041
1700048C15Rik	0	-0.338348	0	0.14594
1700048G13Rik	0	0	0	0
1700048O20Rik	0.3154679	0.42395	0.4700988	-0.119126
1700049E15Rik	-2.5326009	0.210185	0.3644899	0.377235
1700049E17Rik1	-0.62533325	-0.0254912	-0.19409509	-0.0109786
1700049G17Rik	-0.46343404	0.102893	0.4918015	0.1183
1700049J03Rik	1.2476104	-0.96718	0.26226422	0.267675
1700049L16Rik	-0.15935834	-0.453806	0.2805389	-0.0675523
1700052I22Rik	0	0	0	0
1700052K11Rik	0.059202507	-0.280749	0.3710267	-0.190276
1700052N19Rik	0.47921726	-0.371738	0.21387137	-0.387661
1700054N08Rik	0.2305733205	0.111858	0.64454485	-0.316155
1700054O13Rik	2.6987534	-2.87	1.4211472	-1.73168
1700054O19Rik	0	0	0	0
1700055N04Rik	-0.13663709	0.04340275	0.22223063	-0.04396465
1700056E22Rik	0.52695453	-0.609417	1.3654503	-0.928052
1700056I18Rik	0	0	0	0
1700057G04Rik	2.509382	-3.8626	2.2943556	-1.53738
1700057K13Rik	0	0	0	0
1700058G18Rik	-0.15797937	0.461794	0.20158777	0.238374
1700061G19Rik	0.46841468	-0.1730707	0.41094425	0.198402
1700061I17Rik	-0.23270084	-0.108152515	0.031769875	-0.9455136
1700061J05Rik	0.6081735	0.486897	-0.7014699	0.572459
1700063A18Rik	0	0	0	0
1700063H04Rik	-0.011551504	-0.0935682	0.25324863	-0.132706
1700063K16Rik	0	0	0	0
1700065D16Rik	0.06887411	-0.11154745	-0.260196865	0.4827105
1700065I16Rik	-0.28694937	0.241634	0.67683744	-0.012788
1700065I17Rik	-0.30050507	-0.475644	-0.49229962	-0.480604
1700065O20Rik	0	0	0	0
1700066D14Rik	0	0	-1.372628	0
1700066J03Rik	0	0.403654	-0.50553304	0
1700066J24Rik	-0.9592489	0.74694	0.7867152	-0.294786
1700066M21Rik	0.19115457	-0.382204	-0.3761743	0.363084
1700066O22Rik	0	0	0	0
1700067K01Rik	0.16632938	0.516176	-0.029236348	0.0591343
1700067P10Rik	0.07248298	0.466662	0.54418385	-0.184374
1700069L16Rik	0.088563605	0.1596765	0.308597175	0.0076422
1700069P05Rik	0	0	0	-2.01633
1700072E05Rik	-1.8398154	0	0	0.246092
1700072F12Rik	0	0	0	0
1700072H12Rik	-0.1081504	0.300231	0.6000601	-1.19909
1700073E17Rik	0.43719574	-0.2381239	-0.22499707	-0.2415487
1700074P13Rik	0	0.391175	0.2966002	0
1700080E11Rik	-0.43317565	-0.65159	-0.1078952	-0.366704
1700080F18Rik	0	0	0	0
1700080G18Rik	0.677838	-0.485527	1.1072793	-0.380801
1700080O16Rik	0	0.299351	0.029554315	0
1700081L11Rik	-0.06043112725	0.16098615	-0.5487286675	0.562127
1700083H02Rik	-0.8658036	0.191995	0.2334456	-0.0413135
1700084E18Rik	0.42098197	0.1588455	0.58053884	-0.4305985
1700084K02Rik	-0.58032525	0.965489	1.2506186	-0.0188859
1700084M14Rik	-0.6385964	1.33386	1.7931923	-0.453484
1700084P21Rik	0	0.0036778	0	0
1700085B03Rik	0	0	0	0
1700086L19Rik	-0.4571718	0.567524	0.5934456	-0.0771326
1700086P04Rik	1.4711615	-1.14115	1.4896487	-1.28945
1700088E04Rik	1.2396212	-1.20559	1.0397823	-0.855962
1700090G07Rik	-0.038140822	0.1937	0.5561078	-0.474162
1700092C02Rik	0	0	0.47965458	0
1700092E16Rik	-0.92699206	-0.779165	-0.21625957	-0.105211
1700093C20Rik	0	0	0	0
1700093K21Rik	-0.55584065	0.2397495	0.46522653	0
1700094D03Rik	0.38754234	-0.664809	-0.57120305	0.394548
1700094I16Rik	-0.70978594	1.09009	0.3424537	0.0766359
1700094J05Rik	0	0	0	0
1700095A21Rik	0	0.500292	1.4143019	-0.320123
1700095B10Rik	0	0	0	0
1700095J03Rik	0	0	0	0
1700096K18Rik	0.7871365	-0.269664	1.3112458	-0.70205
1700097M23Rik	0	0	0	0.46287
1700100I10Rik	0.05057424	0	0.054470677	0
1700101C01Rik	0	0.299051	-0.51418763	0
1700101I11Rik	0.037809003	0.13488	0.35624334	0
1700102J08Rik	-0.40618271	0.3718156	0.65056826	0.3312725
